project,summary,skills,key_features,concepts,project_type,github_url
chatbot,"A full-featured, hackable Next.js AI chatbot built by Vercel. It is a free, open-source template that helps you quickly build powerful chatbot applications. The chatbot features server-side rendering and increased performance using Next.js and Server Actions. It also provides a unified API for generating text.","[""TypeScript"", ""Next.js"", ""React"", ""Redis""]","[""Server-side rendering"", ""Unified API for generating text"", ""Model Providers""]","[""Server-side rendering"", ""API"", ""AI"", ""CI/CD""]",AI Chatbot,https://github.com/vercel/chatbot
NativeBase,"NativeBase is a mobile-first, accessible component library for React Native and Web, providing consistent UI across Android, iOS, and Web. It is now deprecated and evolving into gluestack-ui. The library offers better performance, enhanced customization, and improved developer experience. NativeBase is entering maintenance mode as it transitions to gluestack-ui.","[""TypeScript"", ""React"", ""React Native"", ""Next.js""]","[""UI components"", ""Cross-platform compatibility"", ""Accessible components""]","[""UI Components"", ""Cross-platform development""]",UI Component Library,https://github.com/GeekyAnts/NativeBase
Cap,"Cap is an open source, fast, and shareable screen recording tool built for teams that want to own their data. It is an alternative to Loom and is designed to be beautiful and easy to use. The project is built using modern technologies and is designed to be scalable and efficient. It allows users to record and share their screen recordings with ease.","[""TypeScript"", ""React"", ""Next.js"", ""Rust"", ""Tauri"", ""Vite"", ""SolidJS""]","[""Screen Recording"", ""Shareable Recordings"", ""Data Ownership""]","[""Screen Capture"", ""Authentication"", ""CI/CD""]",Screen Recording Tool,https://github.com/CapSoftware/Cap
Kap,"Kap is an open-source screen recorder built with web technology, allowing users to record their screen with ease. It is built using TypeScript and utilizes Electron for desktop functionality. The application provides a simple and intuitive interface for capturing and recording screen activity. Kap is available for download on macOS devices.","[""TypeScript"", ""JavaScript"", ""Electron"", ""Next.js""]","[""Screen recording"", ""Menu bar icon"", ""Selectable screen capture area""]","[""Desktop application"", ""Screen capture""]",Productivity tool,https://github.com/wulkano/Kap
taxonomy,"An open source application built using Next.js 13, showcasing new features such as the new router, server components, and more. It demonstrates data fetching, caching, and mutation. The project is now archived and will no longer receive updates. It serves as a template for Next.js 13 and server components.","[""TypeScript"", ""Next.js"", ""Prisma"", ""Tailwind CSS"", ""Vercel""]","[""New Router"", ""Server Components"", ""Data Fetching"", ""Caching"", ""Mutation""]","[""Caching"", ""Server Components""]",Web Application,https://github.com/shadcn-ui/taxonomy
linkwarden,"Linkwarden is a self-hosted collaborative bookmark manager that allows users to collect, read, annotate, and preserve bookmarks in one place.","[""TypeScript"", ""Next.js"", ""React Native""]","[""Collaborative bookmark management"", ""Annotation"", ""Bookmark preservation""]","[""Self-hosted"", ""Collaboration""]",Productivity Tool,https://github.com/linkwarden/linkwarden
SuperAGI,"SuperAGI is an open-source autonomous AI agent framework that enables developers to build, manage, and run useful autonomous agents quickly and reliably. It is designed to be developer-first and provides a reliable way to build and manage AI agents. The framework utilizes various technologies such as NextJS and Pinecone. It is built with Python and utilizes large language models like GPT-4.","[""Python"", ""NextJS""]","[""Autonomous AI Agents"", ""Agent Management"", ""Agent Building""]","[""Artificial Intelligence"", ""Machine Learning"", ""Autonomous Agents""]",AI Framework,https://github.com/TransformerOptimus/SuperAGI
easy-vibe,"A modern coding course for beginners to master, covering various topics such as AI, low-code, and no-code development. The course supports 10 languages and aims to make coding accessible to everyone. It utilizes Next.js and provides a step-by-step tutorial. The project focuses on making coding easy and fun.","[""JavaScript"", ""Next.js""]","[""Multi-language support"", ""Step-by-step tutorial"", ""Low-code and no-code development""]","[""Low-code"", ""No-code""]",Education,https://github.com/datawhalechina/easy-vibe
ai-pdf-chatbot-langchain,"An AI-powered chatbot agent that ingests PDF documents, stores embeddings in a vector database, and answers user queries using OpenAI or another LLM provider. It utilizes LangChain and LangGraph as orchestration frameworks. This project is a customizable template example and accompanies the book Learning LangChain.","[""TypeScript"", ""Next.js"", ""OpenAI"", ""Supabase""]","[""PDF ingestion"", ""Vector database storage"", ""User query answering""]","[""AI"", ""Chatbot"", ""LangChain"", ""LangGraph"", ""Vector Search"", ""Machine Learning""]",AI Chatbot,https://github.com/mayooear/ai-pdf-chatbot-langchain
novel,"Novel is an open-source Notion-style WYSIWYG editor with AI-powered autocompletion, built using Next.js and integrating with OpenAI.","[""TypeScript"", ""Next.js"", ""Prosemirror"", ""Tiptap"", ""Vercel""]","[""WYSIWYG editor"", ""AI-powered autocompletion""]","[""AI"", ""Machine Learning""]",Editor,https://github.com/steven-tey/novel
saas-starter,"A Next.js starter template for building a SaaS application with authentication, Stripe integration, and a dashboard. It features a marketing landing page, pricing page, dashboard pages with CRUD operations, basic RBAC, and subscription management. The template uses Next.js, Postgres, and Stripe. It also includes email/password authentication, global middleware, and activity logging.","[""TypeScript"", ""Next.js"", ""Postgres"", ""Stripe"", ""Drizzle"", ""Zod""]","[""Marketing landing page"", ""Pricing page"", ""Dashboard pages with CRUD operations"", ""Subscription management"", ""Authentication""]","[""Authentication"", ""RBAC"", ""REST API"", ""JWT""]",SaaS,https://github.com/nextjs/saas-starter
trigger.dev,"Trigger.dev is a platform for building and deploying fully-managed AI agents and workflows, enabling automation and orchestration of tasks. It provides a framework for creating and managing AI agents, as well as workflows and background jobs. The platform is built using TypeScript and utilizes serverless architecture. It also features a scheduler for managing tasks and workflows.","[""TypeScript"", ""Next.js""]","[""AI agent management"", ""Workflow automation"", ""Background job management"", ""Serverless deployment"", ""Scheduling""]","[""AI"", ""Automation"", ""Orchestration"", ""Serverless"", ""CI/CD""]",AI Workflow Automation Platform,https://github.com/triggerdotdev/trigger.dev
apitable,"APITable is an API-oriented low-code platform for building collaborative apps, serving as an open-source alternative to Airtable. It utilizes a range of technologies to provide a comprehensive solution. The platform is designed for collaborative app development. It offers features such as automatic API and embed functionality.","[""TypeScript"", ""JavaScript"", ""NestJS"", ""NextJS"", ""React""]","[""Collaborative App Building"", ""Automatic API"", ""Embed Functionality"", ""Low-Code Platform""]","[""Low-Code"", ""API"", ""Collaborative Development""]",Low-Code Platform,https://github.com/apitable/apitable
30-seconds-of-code,"A collection of coding articles to improve development skills, featuring a wide range of topics and searchable content. The project provides code snippets, explanations, and examples for various programming concepts. It is maintained by Angelos Chalaris and has a website for easy browsing. The repository is not currently accepting new content contributions.","[""JavaScript"", ""HTML"", ""CSS"", ""Node.js"", ""ES6""]","[""Searchable articles"", ""Code snippets"", ""Collections"", ""Tag-based filtering""]","[""Education"", ""Learning Resources""]",Education,https://github.com/Chalarangelo/30-seconds-of-code
mikro-orm,"A TypeScript ORM for Node.js based on Data Mapper, Unit of Work and Identity Map patterns, supporting various databases.","[""TypeScript"", ""Node.js"", ""MongoDB"", ""MySQL"", ""MariaDB"", ""MS SQL Server"", ""PostgreSQL"", ""SQLite""]","[""Database support"", ""Data Mapper pattern"", ""Unit of Work pattern"", ""Identity Map pattern""]","[""ORM"", ""Data Mapper"", ""Unit of Work"", ""Identity Map""]",Database ORM,https://github.com/mikro-orm/mikro-orm
adminjs,"AdminJS is an admin panel for Node.js applications, allowing users to manage content. It generates a UI for trusted users and is inspired by other admin panels. The project provides a demo application and documentation for getting started.","[""TypeScript"", ""Node.js"", ""MongoDB""]","[""Admin panel"", ""UI generation"", ""Content management""]","[""Authentication""]",Admin Dashboard,https://github.com/SoftwareBrothers/adminjs
mongo-go-driver,"The Official Golang driver for MongoDB, allowing Go applications to interact with MongoDB databases. It provides a supported driver for Go, enabling developers to upgrade from version 1.x to 2.0. The driver is a crucial component for building Go applications that rely on MongoDB. It is designed to work seamlessly with MongoDB, providing a robust and efficient way to interact with the database.","[""Go"", ""MongoDB""]","[""Database interaction"", ""Driver functionality""]","[""Database""]",Database Driver,https://github.com/mongodb/mongo-go-driver
